date,avg_amt
2023-01-06,478846.87247014267
2023-01-09,324566.75802079693
2023-01-11,285607.0348575457
2023-01-13,327679.9125062056
2023-01-18,273928.9917727809
2023-01-20,218300.99712401512
2023-01-23,230656.2824398188
2023-01-25,260170.08665579004
2023-01-27,288177.6929744758
2023-01-30,250644.30543923823
2023-02-01,301972.1792486138
2023-02-03,310522.4156073444
2023-02-06,346320.4608021004
2023-02-08,280426.83412878355
2023-02-10,330251.35122671945
2023-02-13,304110.0525546911
2023-02-15,292569.6024525323
2023-02-17,336864.56891700166
2023-02-22,281782.5376492625
2023-02-24,269850.1669945721
2023-02-27,261734.79147244268
2023-03-01,228934.7248476209
2023-03-06,222066.86429617857
2023-03-08,219262.91951221146
2023-03-13,243233.62381610618
2023-03-15,192753.71540680472
2023-03-17,239143.63973272694
2023-03-20,215729.46739591094
2023-03-22,1231855.5626230782
2023-03-24,207293.49682401135
2023-03-27,171786.16632814734
2023-03-29,188349.26051913475
2023-03-31,176590.4756368251
2023-04-03,158710.49962502418
2023-04-05,214996.27744957877
2023-04-10,128607.76310492729
2023-04-12,134329.050608143
2023-04-14,131321.44797721095
2023-04-17,126026.47178535248
2023-04-19,101429.69921236664
2023-04-21,84771.8493156119
2023-04-24,97264.29546455898
2023-04-26,100109.07024287342
2023-04-28,91671.52166856536
2023-05-01,111622.11403826452
2023-05-03,90372.43229033756
2023-05-05,99341.40221517043
2023-05-08,80743.39296148122
2023-05-12,81433.122285178
2023-05-15,80995.57537358416
2023-05-17,73584.83463851953
2023-05-19,83772.26099600097
2023-05-22,70678.49381866641
2023-05-26,65453.10143979511
2023-05-31,76139.53480428393
2023-06-02,75390.14069589878
2023-06-05,62352.613601644225
2023-06-07,65899.82123409279
2023-06-09,53603.91453700525
2023-06-12,48366.25344908286
2023-06-14,43654.58272423047
2023-06-16,53747.696213543575
2023-06-21,50392.3887448622
2023-06-23,57379.08538307082
2023-06-26,53474.884299802674
2023-06-28,66235.73015056363
2023-06-30,67421.5963191209
2023-07-03,76921.07128285429
2023-07-05,66959.84448806208
2023-07-07,60824.09251041162
2023-07-10,55852.267957650576
2023-07-12,65670.55624166394
2023-07-14,98919.77564339536
2023-07-17,50713.954876498676
2023-07-19,77866.17984743547
2023-07-21,92492.60687910771
2023-07-24,92087.24398369963
2023-07-26,102468.56025854444
2023-07-28,101501.4339577061
2023-07-31,112833.76283113382
2023-08-02,120667.46267759729
2023-08-04,123676.2465804133
2023-08-07,116345.39196122684
2023-08-09,151560.26778323096
2023-08-16,157055.8187827056
2023-08-18,157983.24969792258
2023-08-21,172131.07647904902
2023-08-23,222089.64204089553
2023-08-25,144670.00484899245
2023-08-28,182183.19056010645
2023-08-30,218973.43556030732
2023-09-01,216194.02889686404
2023-09-06,162197.4831745278
2023-09-08,186899.0593420486
2023-09-11,149619.27105834807
2023-09-13,163499.02205147617
2023-09-15,171469.64863396884
2023-09-18,106116.96179220817
2023-09-20,155154.372682491
2023-09-22,169378.67778468336
2023-09-25,109516.62119445312
2023-09-27,138706.22407872515
2023-09-29,142572.5263427425
2023-10-02,95737.90523490241
2023-10-04,155052.7006079779
2023-10-06,108076.85799126994
2023-10-11,122110.7412473226
2023-10-13,107498.83819403511
2023-10-16,98622.00195045871
2023-10-18,137397.2279768423
2023-10-20,133016.44851473885
2023-10-23,98486.20840530744
2023-10-25,146835.55109425765
2023-10-26,157312.0276033302
2023-10-30,98703.11512226536
2023-11-01,127929.33156730566
2023-11-03,115648.83952015315
2023-11-06,99430.183185123
2023-11-08,144006.75297241448
2023-11-13,122513.39792838479
